name,city,latitude,longitude,url
Jungsik,New York,40.718685,-74.00911,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik
Atera,New York,40.716797,-74.00565,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera
Jean-Georges,New York,40.76907,-73.98155,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges
Marea,New York,40.76749,-73.98114,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea
Gabriel Kreuther,New York,40.75397,-73.982025,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther
Ichimura at Uchū,New York,40.721832,-73.99012,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu
Sushi Ginza Onodera,New York,40.752396,-73.981575,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera
Ko,New York,40.72909,-73.98448,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko
The Modern,New York,40.76106,-73.97628,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern
Aquavit,New York,40.76078,-73.97214,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit
Daniel,New York,40.7666,-73.96745,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel
Aska,New York,40.71222,-73.96642,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska
Blanca,New York,40.70492,-73.93354,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca
